Document Id,Similar Count,Hash,Document Type,File Extension,File Size,Character Count,Page Count,Primary Language
6448,8,68E821EC5B731B9D6D282FF03FC973DAD52FE330,Email,.msg,74752,13304,7,English
6481,7,558264FB9D10450E0C5CD7D7D8AF6B86887F7390,Email,.msg,141312,7381,3,English
6550,7,A67CE94D54F5E8448F1C40B0BE02ED7408E4B0AB,Email,.msg,168960,17449,8,English
6619,4,48ACAE02440D5978A931F63C2CFA8629201E903E,Email,.msg,147456,7348,3,English
6644,2,ADC1DD4BEB5DE818FC842FBD9265F99C4B810ACD,Email,.msg,228864,20053,13,English
6702,15,C8492132F38C6A39B996E2960D432092CB0258B9,Email,.msg,122368,6923,3,English
6900,6,CDE760EF9CC5FAD21D1AB615EF1834C1487373B1,Email,.msg,40448,4715,4,English
6929,3,D1277F378C998C5425162F5C5E58F6F54D62A1B6,Email,.msg,40960,2296,2,English
7071,1,78E64A57C82BEFE20DD4222C461213AEC369DBF9,Email,.msg,98304,3599,3,English
7073,7,78F1B2A406733B4BA937B81D7AA72D700FDD684F,Email,.msg,83968,8734,5,English
7075,1,1F28C48F0CAEE7EC1317339B88221BC448A6B4C9,Email,.msg,87552,1646,2,English
7076,1,2B5DC713336635288841E813B7CB14FA99C500FF,Email,.msg,81920,1746,1,English
7129,1,21611CB890DDA52DFB5908A5059C1869B2A1E493,Email,.msg,128000,12413,5,English
7131,3,7ACDC760BCC4709FBE9E44998C1ED95E1BA2BA44,Email,.msg,101376,7778,4,English
7151,1,DC4862999E2EFFCDA74917ADB141B7AD4A47F587,Email,.msg,110592,6074,4,English
7182,5,DFA895D207FA13642D329EA36E0BB484F279E6EE,Email,.msg,45056,5886,5,English
7187,2,E02D95EB6877761EA5C8DC3E6AD0B114C1666F40,Email,.msg,118272,5722,3,English
7191,6,FEC20C0A7B72A0EB288432DA97C46A4A7375EB04,Email,.msg,171520,17703,8,English
7195,2,FF356CCFFBCC6C128E2CF48029EEC90D119F942A,Email,.msg,73216,11160,5,English
7197,5,E0875935E0C2C59BC31578A695F492306B5308CA,Email,.msg,115200,7877,4,English
